Fighter Name,Record,Height,Weight,Reach,Stance,SLpM,Str. Acc,SApM,Str. Def,TD Avg,TD Acc,TD Def,Sub. Avg
Mike Lullo,RECORD: 8-3-0,"5' 8""",145 lbs.,--,Orthodox,2.48,36%,4.84,40%,1.18,11%,0%,0.6
Ian Loveland,RECORD: 18-10-0,"5' 8""",145 lbs.,--,Orthodox,2.71,40%,2.36,64%,1.00,37%,69%,0.3
Chris Lytle,RECORD: 31-18-5,"5' 11""",170 lbs.,"68""",Orthodox,3.76,45%,3.03,58%,0.70,55%,55%,2.4
TJ O'Brien,RECORD: 20-8-0,"6' 2""",155 lbs.,--,Orthodox,3.77,46%,4.78,57%,0.94,100%,0%,0.0
Jason Reinhardt,RECORD: 20-3-0,"5' 6""",135 lbs.,--,Orthodox,0.51,40%,4.07,43%,1.91,12%,50%,0.0
Andre Winner,RECORD: 21-11-2,"5' 11""",155 lbs.,"73""",Orthodox,2.52,33%,4.57,51%,0.00,0%,74%,0.0
Javier Vazquez,RECORD: 16-5-0,"5' 7""",145 lbs.,"69""",Southpaw,2.43,36%,1.99,72%,2.56,52%,57%,1.5
Joe Stevenson,RECORD: 33-16-0,"5' 7""",145 lbs.,"70""",Orthodox,2.05,44%,2.44,60%,2.75,44%,39%,2.2
Curt Warburton,RECORD: 13-6-0,"6' 0""",155 lbs.,"73""",Orthodox,2.13,42%,3.44,43%,2.35,50%,83%,0.9
Shane Carwin,RECORD: 12-2-0,"6' 2""",265 lbs.,"80""",Orthodox,4.38,47%,3.53,53%,1.42,33%,42%,0.0
Jesse Bongfeldt,RECORD: 16-5-1,"6' 0""",185 lbs.,--,Orthodox,2.91,62%,1.01,50%,1.51,33%,33%,0.0
Tim Credeur,RECORD: 12-4-0,"6' 3""",185 lbs.,"75""",Orthodox,3.59,30%,3.13,57%,0.41,100%,50%,3.3
Chuck O'Neil,RECORD: 17-9-0,"6' 2""",170 lbs.,--,,3.13,37%,4.40,72%,0.00,0%,0%,0.0
Ryan McGillivray,RECORD: 12-0-1,,,,,1.27,20%,2.20,52%,0.00,0%,44%,0.0
Kendall Grove,RECORD: 23-17-0 (1 NC),"6' 6""",185 lbs.,"79""",Orthodox,2.31,41%,2.40,54%,0.49,45%,56%,1.7
Randy Couture,RECORD: 19-11-0,,,,,,,,,,,,
Charlie Valencia,RECORD: 12-7-0,,,,,,,,,,,,
Ryan Jensen,RECORD: 21-8-0,,,,,2.84,39%,2.99,59%,1.55,50%,31%,1.9
Kyle Watson,RECORD: 13-8-1,,,,,,,,,0.00,0%,100%,0.0
Jon Madsen,RECORD: 8-2-0,,,,,,,,,,,,
Kris McCray,RECORD: 8-5-0,,,,,,,,,,,,
Sean McCorkle,RECORD: 17-7-0,,,,,,44%,2.48,52%,2.12,40%,33%,4.2
Mario Miranda,RECORD: 14-7-0,,,,,,,,,,,,
Waylon Lowe,RECORD: 16-7-0 (2 NC),"5' 7""",145 lbs.,--,Southpaw,1.88,55%,2.40,53%,4.47,55%,83%,0.3
Ricardo Almeida,RECORD: 13-5-0,,,,,,,,,,,31%,1.2
Kurt Pellegrino,RECORD: 16-7-0,,,,,,,,,,,,
Rob Kimmons,RECORD: 25-9-0,,,,,,,,,,,,2.4
Todd Brown,RECORD: 16-4-0 (1 NC),,,,,,,,,,,,
Tom Blackledge,RECORD: 10-7-0,,,,,,,,,,,,
Chris Tuchscherer,RECORD: 21-4-0 (1 NC),,,,,,,,,,,,
Maciej Jewtuszko,RECORD: 12-3-0,"6' 0""",155 lbs.,--,Southpaw,2.29,45%,1.39,66%,0.00,0%,42%,0.9
Antonio Banuelos,RECORD: 20-11-1,,,,,2.69,33%,3.15,58%,1.62,62%,86%,0.4
Paul Kelly,RECORD: 14-5-0,,,,,,,,,,,,
Paul Taylor,RECORD: 11-6-1 (1 NC),,,,,4.44,47%,4.47,55%,0.27,25%,56%,0.5
Gabe Ruediger,RECORD: 18-8-0,,,,,,,,,,,,
Tim Hague,RECORD: 21-13-0,,,,,2.79,47%,4.14,46%,1.72,33%,85%,0.9
Mike Guymon,RECORD: 15-6-1,,,,,,,,66%,1.87,37%,54%,1.2
Willamy Freire,RECORD: 26-6-0,,,,,,,,,,,,
Amilcar Alves,RECORD: 15-12-0,,,,,0.50,46%,2.02,30%,0.00,0%,53%,0.0
Marcus Davis,RECORD: 22-11-0 (1 NC),,,,,2.72,39%,2.79,65%,1.60,48%,47%,1.4
Phil Baroni,RECORD: 15-18-0,,,,,,,,,1.46,47%,60%,0.5
Greg Soto,RECORD: 9-4-0,,,,,,,,,,,,
Antonio McKee,RECORD: 29-6-2,,,,,,,,,,,,
Joe Doerksen,RECORD: 51-16-0,,,,,1.43,42%,2.79,50%,2.02,33%,33%,2.3
Dustin Hazelett,RECORD: 12-7-0,,,,,,,,,,,,
Pat Audinwood,RECORD: 11-2-1,,,,,,,,,,,,
Aaron Wilkinson,RECORD: 11-7-0,,,,,,,,,,,,
Tyler Toner,RECORD: 15-7-0 (1 NC),,,,,2.95,52%,2.13,62%,0.00,0%,54%,0.4
Sako Chivitchian,RECORD: 8-1-0,,,,,,,,,0.00,0%,100%,0.0
Fredson Paixao,RECORD: 10-5-0 (1 NC),,,,,,,,,0.62,11%,10%,2.2
Maiquel Falcao,RECORD: 37-10-0 (1 NC),"5' 11""",185 lbs.,--,Orthodox,1.67,55%,0.53,86%,1.00,100%,71%,3.0
Gerald Harris,RECORD: 23-5-0,"5' 11""",185 lbs.,"77""",Southpaw,1.41,29%,1.58,62%,2.96,54%,72%,0.0
Brian Foster,RECORD: 27-10-0,"5' 9""",170 lbs.,"71""",Orthodox,3.30,39%,1.63,65%,3.67,60%,37%,1.8
Karo Parisyan,RECORD: 24-11-0 (1 NC),"5' 10""",170 lbs.,"72""",Orthodox,2.49,41%,2.19,58%,5.27,59%,59%,1.0
Goran Reljic,RECORD: 15-8-0,"6' 3""",205 lbs.,"81""",Southpaw,1.69,37%,2.69,59%,1.69,50%,33%,1.1
Nick Osipczak,RECORD: 6-3-0,"6' 2""",170 lbs.,"76""",Orthodox,2.83,50%,3.77,50%,1.20,45%,71%,1.0
Alexandre Ferreira,RECORD: 18-6-0,"5' 7""",205 lbs.,--,Orthodox,2.57,60%,8.14,42%,0.00,0%,0%,0.0
Mark Scanlon,RECORD: 9-2-0,"5' 9""",170 lbs.,--,Orthodox,2.20,35%,3.33,48%,3.00,75%,25%,2.0
Seth Petruzelli,RECORD: 14-8-0,"6' 0""",205 lbs.,"76""",Orthodox,2.17,41%,2.08,55%,0.46,50%,47%,2.3
Gilbert Yvel,RECORD: 39-16-1 (1 NC),"6' 2""",225 lbs.,"77""",Orthodox,1.05,47%,1.78,50%,0.00,0%,25%,1.0
James Wilks,RECORD: 7-4-0,"6' 1""",170 lbs.,"75""",Orthodox,1.82,45%,2.03,50%,1.27,22%,66%,3.8
Vinicius Queiroz,RECORD: 8-4-0,"6' 7""",220 lbs.,--,Orthodox,3.67,51%,4.10,41%,5.07,70%,100%,0.7
Mark Holst,RECORD: 12-6-0,"6' 0""",155 lbs.,--,Orthodox,0.25,19%,1.67,47%,0.76,100%,60%,2.3
James McSweeney,RECORD: 15-15-0,"6' 4""",230 lbs.,"77""",Switch,3.94,55%,4.33,42%,0.52,33%,100%,1.1
Matt Serra,RECORD: 11-7-0,"5' 6""",170 lbs.,"68""",Orthodox,1.98,39%,2.64,46%,2.05,20%,38%,0.9
Sean Sherk,RECORD: 36-4-1,"5' 6""",155 lbs.,"67""",Orthodox,2.17,35%,2.71,55%,4.09,46%,56%,0.4
Steve Lopez,RECORD: 13-6-1,"5' 11""",155 lbs.,--,Orthodox,1.39,24%,2.69,62%,0.00,0%,37%,0.0
Julio Paulino,RECORD: 23-5-0,"6' 0""",170 lbs.,--,Orthodox,0.97,27%,1.87,48%,0.00,0%,37%,0.5
John Gunderson,RECORD: 35-16-2,"5' 9""",155 lbs.,"69""",Orthodox,1.04,27%,1.71,58%,1.67,33%,11%,2.0
Tomasz Drwal,RECORD: 21-5-1,"6' 1""",205 lbs.,"76""",Orthodox,3.29,38%,2.26,57%,3.55,60%,82%,0.4
Forrest Petz,RECORD: 26-10-0,"5' 9""",170 lbs.,"71""",Orthodox,2.27,29%,2.20,57%,1.30,100%,66%,0.0
James Toney,RECORD: 0-1-0,"5' 9""",220 lbs.,--,Orthodox,0.00,0%,2.41,27%,0.00,0%,0%,0.0
John Salter,RECORD: 14-3-0,"6' 1""",185 lbs.,"74""",Southpaw,1.68,32%,1.68,68%,2.85,46%,66%,0.5
Rodney Wallace,RECORD: 26-15-1,"5' 9""",205 lbs.,"72""",Switch,1.13,46%,3.44,45%,6.00,54%,28%,1.0
James Irvin,RECORD: 17-10-0 (2 NC),"6' 2""",205 lbs.,"75""",Orthodox,2.03,48%,3.86,35%,0.00,0%,36%,0.5
Steve Steinbeiss,RECORD: 9-4-0,"6' 3""",185 lbs.,"75""",Orthodox,3.92,55%,1.86,49%,0.44,50%,58%,0.0
Keith Jardine,RECORD: 17-11-2,"6' 2""",185 lbs.,"76""",Orthodox,3.25,36%,2.98,59%,1.18,45%,62%,0.7
Jamie Yager,RECORD: 8-4-0,"6' 1""",185 lbs.,--,Orthodox,3.08,39%,2.55,63%,0.00,0%,66%,0.0
Josh Bryant,RECORD: 15-4-0,"5' 10""",185 lbs.,--,Orthodox,1.10,20%,6.10,43%,0.00,0%,0%,0.0
James Hammortree,RECORD: 6-3-0,"6' 3""",185 lbs.,--,Orthodox,1.93,30%,4.13,44%,2.00,50%,100%,1.0
Chuck Liddell,RECORD: 21-8-0,"6' 2""",205 lbs.,"76""",Orthodox,2.97,35%,2.71,56%,0.44,75%,81%,0.0
David Loiseau,RECORD: 23-11-0,"6' 0""",185 lbs.,"76""",Orthodox,1.59,44%,3.64,43%,0.43,42%,36%,0.1
Jesse Lennox,RECORD: 14-4-0,"5' 9""",170 lbs.,"72""",Orthodox,2.69,32%,3.20,64%,1.22,66%,63%,0.3
Dan Lauzon,RECORD: 17-6-0,"5' 10""",155 lbs.,--,Orthodox,1.34,25%,4.09,61%,1.63,33%,80%,2.7
Joe Brammer,RECORD: 7-3-1,"5' 8""",155 lbs.,--,Orthodox,2.15,31%,2.80,56%,0.81,50%,50%,0.0
Jesse Forbes,RECORD: 15-5-0,"6' 2""",185 lbs.,"75""",Southpaw,2.11,24%,4.06,53%,1.79,75%,66%,1.2
Paul Daley,RECORD: 39-15-2,"5' 9""",170 lbs.,"76""",Orthodox,3.14,47%,2.37,60%,0.91,40%,64%,0.0
Kevin Ferguson,RECORD: 5-2-0 (1 NC),"6' 2""",235 lbs.,"77""",Orthodox,2.30,50%,3.41,38%,3.10,72%,36%,1.2
Jonathan Goulet,RECORD: 23-12-0 (1 NC),"6' 0""",170 lbs.,"73""",Orthodox,1.61,41%,2.01,46%,4.17,70%,45%,0.6
Yoshiyuki Yoshida,RECORD: 18-9-0,"5' 11""",170 lbs.,"70""",Southpaw,0.85,36%,3.67,36%,1.41,28%,25%,2.8
Renzo Gracie,RECORD: 13-7-1 (1 NC),"5' 10""",185 lbs.,--,Orthodox,1.71,41%,1.67,55%,1.13,20%,40%,0.8
Brad Blackburn,RECORD: 18-13-1 (1 NC),"5' 10""",170 lbs.,"73""",Orthodox,4.55,35%,3.59,65%,0.93,50%,76%,0.7
Matt Veach,RECORD: 17-5-0,"5' 11""",155 lbs.,--,Orthodox,1.12,28%,4.91,44%,3.64,38%,100%,1.5
Mostapha Al-Turk,RECORD: 6-6-0,"6' 2""",245 lbs.,"77""",Orthodox,1.36,19%,3.61,53%,0.00,0%,0%,0.0
Nate Quarry,RECORD: 12-4-0,"6' 0""",185 lbs.,"72""",Open Stance,4.96,44%,2.80,66%,0.25,33%,60%,0.0
Ronys Torres,RECORD: 35-5-0,"5' 7""",155 lbs.,--,Orthodox,0.87,26%,1.93,57%,4.00,47%,16%,0.5
Rob Emerson,RECORD: 18-12-0 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,2.50,30%,2.83,64%,2.02,52%,65%,0.4
Caol Uno,RECORD: 33-19-5,"5' 7""",155 lbs.,"70""",Southpaw,1.91,49%,1.90,50%,1.95,31%,37%,0.5
Lucio Linhares,RECORD: 19-8-0,"6' 2""",185 lbs.,--,Orthodox,0.99,22%,3.47,34%,1.86,50%,50%,1.9
Rory Markham,RECORD: 17-6-0,"6' 0""",170 lbs.,"71""",Orthodox,1.98,21%,10.27,45%,0.00,0%,0%,0.0
Paul Buentello,RECORD: 35-17-0,"6' 2""",245 lbs.,"77""",Orthodox,3.29,45%,3.83,52%,0.19,33%,39%,0.4
Shannon Gugerty,RECORD: 15-7-0,"5' 10""",155 lbs.,"71""",Orthodox,1.25,39%,1.88,58%,2.13,27%,50%,3.4
Chase Gormley,RECORD: 14-6-0 (1 NC),"6' 3""",265 lbs.,--,Orthodox,3.60,42%,6.03,44%,3.12,42%,0%,1.0
Mark Coleman,RECORD: 16-10-0,"6' 1""",205 lbs.,"75""",Orthodox,1.88,52%,2.62,40%,3.89,40%,50%,0.8
Frank Trigg,RECORD: 21-9-0,"5' 9""",170 lbs.,"71""",Southpaw,2.79,46%,1.90,56%,2.35,47%,75%,0.8
Justin Buchholz,RECORD: 15-10-0,"6' 0""",155 lbs.,"73""",Orthodox,2.35,26%,4.14,51%,0.00,0%,33%,0.8
Rolles Gracie,RECORD: 8-4-0,"6' 4""",242 lbs.,--,Orthodox,2.30,32%,3.38,55%,2.30,10%,0%,0.0
Jay Silva,RECORD: 10-11-1,"6' 2""",185 lbs.,--,Southpaw,1.13,34%,3.07,40%,0.00,0%,38%,1.0
Kyle Bradley,RECORD: 19-12-0 (1 NC),"5' 9""",155 lbs.,"71""",Orthodox,1.99,40%,3.45,58%,0.65,50%,40%,0.0
Wilson Gouveia,RECORD: 14-8-0,"6' 1""",185 lbs.,"76""",Orthodox,3.02,39%,4.06,56%,0.90,66%,57%,2.2
Shane Nelson,RECORD: 16-7-0,"5' 9""",155 lbs.,"70""",Southpaw,1.38,31%,2.84,61%,1.31,18%,54%,1.6
Kevin Burns,RECORD: 12-7-0,"5' 10""",170 lbs.,"74""",Orthodox,2.74,38%,4.30,52%,0.28,50%,47%,0.8
Houston Alexander,RECORD: 17-15-1 (2 NC),"6' 0""",205 lbs.,"72""",Orthodox,3.06,54%,3.20,52%,1.19,57%,33%,0.0
Marcus Jones,RECORD: 4-2-0,"6' 6""",265 lbs.,--,Orthodox,1.94,52%,2.71,58%,8.71,75%,0%,2.9
Darrill Schoonover,RECORD: 14-8-0,"6' 2""",220 lbs.,--,Orthodox,1.20,33%,4.35,38%,0.00,0%,50%,1.1
Justin Wren,RECORD: 13-2-0,"6' 2""",265 lbs.,--,Orthodox,3.43,35%,2.07,64%,0.00,0%,100%,0.0
Jake Rosholt,RECORD: 12-5-0 (1 NC),"6' 1""",185 lbs.,--,Orthodox,2.68,53%,2.33,49%,6.51,68%,0%,1.8
Brock Larson,RECORD: 42-10-0,"5' 11""",170 lbs.,"71""",Southpaw,1.39,46%,1.50,55%,2.67,34%,43%,2.0
Jason Dent,RECORD: 22-13-0,"5' 10""",155 lbs.,"71""",Orthodox,2.01,39%,3.70,62%,0.00,0%,26%,1.4
Denis Kang,RECORD: 35-16-2 (2 NC),"5' 11""",185 lbs.,"77""",Orthodox,2.27,35%,1.65,67%,2.51,65%,38%,1.2
Rolando Delgado,RECORD: 11-6-1,"6' 3""",155 lbs.,"77""",Orthodox,1.56,40%,1.83,62%,1.17,22%,0%,3.5
Antoni Hardonk,RECORD: 8-6-0,"6' 4""",245 lbs.,"78""",Orthodox,3.40,61%,3.07,46%,0.00,0%,40%,0.9
Razak Al-Hassan,RECORD: 13-5-0,"6' 2""",205 lbs.,--,Orthodox,3.27,39%,3.14,60%,0.65,14%,57%,0.0
Hermes Franca,RECORD: 24-17-0 (1 NC),"5' 6""",155 lbs.,"71""",Orthodox,1.78,39%,2.85,55%,1.53,36%,37%,2.4
Drew McFedries,RECORD: 12-7-0,"6' 0""",185 lbs.,"72""",Southpaw,5.13,51%,4.56,52%,1.42,100%,56%,0.7
Roger Huerta,RECORD: 23-9-1 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,3.64,36%,2.33,56%,2.13,46%,52%,0.5
Chris Wilson,RECORD: 18-10-0 (1 NC),"6' 1""",170 lbs.,"75""",Orthodox,2.32,50%,1.36,55%,1.31,50%,60%,1.6
Justin McCully,RECORD: 11-5-2,"6' 1""",225 lbs.,"73""",Orthodox,1.58,37%,2.02,46%,1.28,44%,43%,0.0
Marcus Aurelio,RECORD: 22-10-0,"5' 10""",155 lbs.,"74""",Orthodox,1.42,33%,2.27,59%,1.69,27%,27%,1.3
Dan Cramer,RECORD: 11-4-0,"6' 2""",170 lbs.,--,Orthodox,0.97,30%,2.10,31%,0.00,0%,66%,0.5
Danillo Villefort,RECORD: 15-5-0,"6' 1""",185 lbs.,--,Orthodox,2.86,37%,2.40,68%,1.71,66%,33%,1.7
Jake O'Brien,RECORD: 15-4-0,"6' 3""",205 lbs.,"76""",Orthodox,1.31,31%,1.92,69%,6.39,54%,25%,0.2
Mike Ciesnolevicz,RECORD: 19-4-0 (1 NC),"6' 0""",235 lbs.,--,Orthodox,0.51,50%,4.62,57%,0.00,0%,20%,5.1
Frank Lester,RECORD: 11-6-0 (1 NC),"5' 11""",170 lbs.,--,Orthodox,2.18,36%,3.82,53%,0.00,0%,0%,0.0
Cameron Dollar,RECORD: 11-5-0,"5' 11""",155 lbs.,--,Orthodox,5.04,38%,2.94,61%,0.00,0%,0%,0.0
Dale Hartt,RECORD: 6-3-0,"5' 10""",155 lbs.,"69""",Orthodox,1.14,35%,1.55,66%,1.22,100%,25%,2.5
Denis Stojnic,RECORD: 13-3-0 (1 NC),"6' 0""",245 lbs.,--,Orthodox,1.51,23%,6.06,36%,0.00,0%,80%,1.0
Xavier Foupa-Pokam,RECORD: 32-22-0,"6' 1""",185 lbs.,--,Open Stance,1.47,43%,2.50,49%,0.00,0%,16%,0.0
Andre Gusmao,RECORD: 6-3-0,"6' 0""",205 lbs.,--,Orthodox,2.79,43%,3.28,60%,0.00,0%,60%,0.0
Brandon Wolff,RECORD: 7-5-0,"5' 9""",170 lbs.,--,Orthodox,0.47,33%,10.91,19%,0.00,0%,0%,0.0
David Kaplan,RECORD: 3-4-0,"5' 7""",155 lbs.,--,Orthodox,2.88,46%,4.32,67%,4.88,43%,0%,0.7
David Bielkheden,RECORD: 24-12-0,"5' 10""",155 lbs.,"71""",Orthodox,1.11,57%,1.64,54%,2.65,63%,14%,0.0
Ryo Chonan,RECORD: 22-13-0,"5' 9""",170 lbs.,"70""",Orthodox,2.57,43%,2.25,60%,0.61,41%,39%,0.3
Carmelo Marrero,RECORD: 16-6-0 (1 NC),"6' 0""",205 lbs.,"73""",Orthodox,0.84,34%,2.04,54%,3.21,36%,36%,0.9
Junie Browning,RECORD: 5-6-0,"5' 9""",155 lbs.,--,Orthodox,3.76,48%,1.76,66%,3.53,66%,0%,3.5
Matt Horwich,RECORD: 30-25-1,"6' 1""",185 lbs.,--,Orthodox,1.11,62%,2.16,38%,0.33,9%,28%,2.7
Jesse Sanders,RECORD: 23-7-0,"6' 0""",170 lbs.,--,Orthodox,0.00,0%,6.45,35%,0.00,0%,50%,0.0
Nissen Osterneck,RECORD: 12-4-0,"6' 2""",185 lbs.,--,Orthodox,3.15,58%,2.90,41%,0.63,12%,42%,1.3
Joe Vedepo,RECORD: 18-9-0,"6' 0""",185 lbs.,--,Orthodox,1.43,42%,5.71,38%,1.07,20%,0%,0.0
Tim McKenzie,RECORD: 14-9-0,"6' 0""",185 lbs.,"74""",Orthodox,1.37,54%,2.96,44%,0.00,0%,28%,2.1
Pete Sell,RECORD: 10-7-0,"5' 11""",170 lbs.,"75""",Orthodox,2.60,42%,3.65,51%,0.91,21%,47%,0.9
Ryan Madigan,RECORD: 5-3-0,"6' 0""",170 lbs.,--,Orthodox,0.00,0%,3.35,47%,0.00,0%,0%,0.0
Jason Day,RECORD: 19-12-0,"6' 0""",185 lbs.,"72""",Orthodox,3.61,54%,3.46,47%,1.13,100%,0%,0.0
Michael Patt,RECORD: 12-4-0,"6' 0""",205 lbs.,--,Orthodox,1.65,28%,5.53,55%,0.00,0%,0%,0.0
Brian Cobb,RECORD: 20-9-0,"5' 11""",155 lbs.,--,Orthodox,0.00,0%,3.68,55%,5.81,50%,0%,0.0
Per Eklund,RECORD: 14-5-1,"5' 10""",155 lbs.,"72""",Orthodox,2.07,61%,2.38,67%,2.07,11%,50%,3.6
Neil Grove,RECORD: 12-8-1,"6' 6""",265 lbs.,--,Orthodox,0.00,0%,0.00,0%,0.00,0%,100%,14.3
Troy Mandaloniz,RECORD: 3-2-0,"5' 9""",170 lbs.,--,Orthodox,3.52,56%,4.71,63%,3.10,66%,57%,0.0
Luigi Fioravanti,RECORD: 26-15-0,"5' 8""",170 lbs.,"70""",Orthodox,2.23,42%,2.21,69%,3.76,63%,67%,0.9
Rich Clementi,RECORD: 45-23-1,"5' 9""",155 lbs.,"72""",Southpaw,1.43,37%,2.29,60%,1.72,42%,25%,1.1
Derek Downey,RECORD: 11-4-0,"6' 1""",185 lbs.,--,Orthodox,0.32,100%,3.36,12%,2.40,16%,0%,0.0
Steve Bruno,RECORD: 15-6-0,"5' 10""",170 lbs.,--,Orthodox,0.96,52%,3.38,36%,1.94,25%,46%,0.4
Akihiro Gono,RECORD: 35-21-8,"5' 7""",170 lbs.,"68""",Switch,2.18,48%,2.67,63%,1.01,84%,46%,0.5
Christian Wellisch,RECORD: 8-5-0,"6' 2""",234 lbs.,"77""",Orthodox,3.12,27%,3.04,56%,1.22,42%,45%,1.2
Matt Arroyo,RECORD: 3-3-0,"5' 10""",170 lbs.,"72""",Orthodox,1.62,47%,2.01,58%,2.12,36%,100%,5.3
Jeremy Horn,RECORD: 91-22-5 (1 NC),"6' 1""",185 lbs.,"74""",Orthodox,1.19,39%,1.99,55%,1.83,38%,29%,1.1
Tom Egan,RECORD: 7-5-0,"5' 11""",170 lbs.,--,Orthodox,0.00,0%,3.91,50%,0.00,0%,28%,0.0
Alexandre Barros,RECORD: 22-11-0,"5' 9""",170 lbs.,--,Southpaw,0.98,40%,4.05,36%,1.84,50%,100%,0.0
Antonio Mendes,RECORD: 18-13-0,"6' 3""",205 lbs.,"77""",Southpaw,1.34,47%,6.85,22%,2.51,50%,100%,0.0
Ivan Serati,RECORD: 12-4-0,"6' 0""",205 lbs.,--,Orthodox,0.86,26%,5.33,29%,0.00,0%,0%,0.0
Nate Mohr,RECORD: 9-7-0,"5' 9""",155 lbs.,"72""",Orthodox,3.79,41%,2.50,74%,0.45,50%,71%,0.0
Dean Lister,RECORD: 13-7-0,"6' 1""",185 lbs.,"75""",Orthodox,1.26,35%,1.89,61%,1.58,15%,50%,1.1
Mike Wessel,RECORD: 15-8-0,"6' 0""",260 lbs.,--,Orthodox,1.82,56%,6.43,22%,6.29,50%,0%,0.0
Reese Andy,RECORD: 7-3-0,"6' 0""",205 lbs.,--,Orthodox,2.87,50%,3.50,58%,0.67,20%,40%,0.0
Dan Evensen,RECORD: 11-4-0,"6' 3""",250 lbs.,--,Orthodox,0.27,10%,3.86,38%,0.00,0%,0%,4.0
Shane Primm,RECORD: 5-5-0,"6' 3""",205 lbs.,--,Orthodox,0.83,26%,2.25,62%,1.78,20%,0%,0.0
Jules Bruchez,RECORD: 1-2-0,"6' 0""",205 lbs.,--,Southpaw,0.69,50%,5.52,46%,0.00,0%,0%,0.0
John Polakowski,RECORD: 2-2-0,"5' 10""",155 lbs.,--,Orthodox,2.60,26%,2.83,50%,0.00,0%,87%,0.7
Nate Loughran,RECORD: 11-2-0,"6' 2""",185 lbs.,--,Orthodox,1.81,40%,4.11,59%,0.00,0%,0%,2.1
Brodie Farber,RECORD: 16-7-0,"6' 1""",170 lbs.,--,Orthodox,1.69,45%,2.17,53%,0.90,50%,20%,0.9
Johnny Rees,RECORD: 13-5-0 (1 NC),"6' 0""",170 lbs.,--,Orthodox,3.29,64%,0.84,47%,1.15,25%,50%,0.0
Corey Hill,RECORD: 6-9-0,"6' 4""",155 lbs.,"80""",Orthodox,3.57,46%,1.61,70%,3.02,80%,100%,0.0
Eddie Sanchez,RECORD: 15-8-0,"6' 2""",230 lbs.,"74""",Orthodox,3.45,43%,3.30,43%,1.13,26%,42%,0.0
Josh Hendricks,RECORD: 19-11-0 (1 NC),"6' 2""",235 lbs.,--,Southpaw,0.98,20%,11.80,29%,0.00,0%,0%,0.0
Jorge Gurgel,RECORD: 14-10-0,"5' 7""",155 lbs.,"69""",Orthodox,3.37,32%,3.62,62%,0.81,23%,60%,0.5
Alvin Robinson,RECORD: 15-9-0,"5' 9""",155 lbs.,"68""",Southpaw,1.57,50%,1.29,51%,1.24,50%,25%,1.2
Ryan Thomas,RECORD: 20-8-0,"6' 0""",170 lbs.,--,Orthodox,2.01,36%,4.17,30%,5.59,33%,0%,2.2
Rameau Thierry Sokoudjou,RECORD: 18-18-0,"5' 10""",205 lbs.,"78""",Orthodox,2.26,45%,2.61,56%,1.93,47%,78%,0.9
Neil Wain,RECORD: 13-4-0,"5' 10""",242 lbs.,--,Orthodox,2.64,50%,8.57,43%,0.00,0%,50%,0.0
Jess Liaudin,RECORD: 20-11-0,"5' 9""",170 lbs.,"72""",Orthodox,2.46,51%,2.76,41%,3.28,53%,30%,1.6
David Baron,RECORD: 17-4-1,"5' 6""",155 lbs.,--,Switch,1.17,30%,2.10,56%,0.00,0%,14%,0.7
Samy Schiavo,RECORD: 10-6-0,"5' 8""",155 lbs.,--,Orthodox,1.68,34%,2.62,38%,0.94,50%,66%,0.9
Brad Morris,RECORD: 10-6-0,"6' 2""",205 lbs.,--,Orthodox,0.50,62%,6.95,27%,0.00,0%,0%,0.0
Jason Lambert,RECORD: 26-13-0,"6' 3""",185 lbs.,"75""",Orthodox,3.21,58%,1.84,50%,1.35,36%,28%,2.4
Heath Herring,RECORD: 28-16-0 (1 NC),"6' 4""",250 lbs.,"78""",Orthodox,2.37,50%,1.77,54%,1.22,50%,32%,0.7
Luke Cummo,RECORD: 6-6-0,"6' 0""",170 lbs.,"74""",Orthodox,1.74,43%,1.50,59%,0.89,55%,42%,1.4
Cale Yarbrough,RECORD: 8-3-0,"6' 1""",185 lbs.,--,Orthodox,3.16,27%,10.00,72%,0.00,0%,0%,0.0
James Giboo,RECORD: 13-5-0,"5' 11""",170 lbs.,--,Orthodox,1.20,27%,7.08,39%,0.00,0%,0%,0.0
Evan Tanner,RECORD: 32-8-0,"6' 0""",185 lbs.,"74""",Orthodox,3.05,59%,2.64,56%,2.55,43%,25%,1.3
Dante Rivera,RECORD: 16-7-0,"6' 1""",185 lbs.,--,Southpaw,2.27,53%,4.00,25%,0.00,0%,16%,0.0
Marvin Eastman,RECORD: 18-15-1,"5' 9""",185 lbs.,"73""",Orthodox,2.21,35%,3.92,42%,1.38,33%,81%,0.0
Rob Yundt,RECORD: 9-5-0,"6' 1""",185 lbs.,--,Orthodox,1.37,41%,2.55,31%,2.94,100%,0%,0.0
Ivan Salaverry,RECORD: 14-9-0,"6' 0""",185 lbs.,--,Orthodox,3.01,47%,1.19,76%,0.49,18%,36%,2.5
Kazuhiro Nakamura,RECORD: 21-13-0,"5' 11""",205 lbs.,"70""",Orthodox,1.56,37%,1.83,59%,1.73,36%,42%,0.6
War Machine,RECORD: 14-5-0,"5' 11""",170 lbs.,--,Orthodox,2.32,60%,3.17,43%,1.16,50%,40%,0.0
Jason Tan,RECORD: 5-3-0,"5' 10""",170 lbs.,--,Orthodox,0.69,29%,7.37,18%,0.00,0%,0%,0.0
