Win/Loss,Fighters,KD,Str,Td,Sub,Weight Class,Method,Round,Time,Event Name,Date,Location
WIN,"Chris Lytle, Ronald Jhun","1, 0","12, 8","0, 1","2, 0",Welterweight,"SUB, Guillotine Choke",2,1:17,UFC 49: Unfinished Business,"DATE: August 21, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Karo Parisyan, Nick Diaz","0, 0","27, 37","9, 1","0, 2",Welterweight,S-DEC,3,5:00,UFC 49: Unfinished Business,"DATE: August 21, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Yves Edwards, Josh Thomson","1, 0","16, 13","0, 2","0, 0",Lightweight,"KO/TKO, Kick",1,4:32,UFC 49: Unfinished Business,"DATE: August 21, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Ken Shamrock, Kimo Leopoldo","1, 0","12, 4","0, 0","0, 0",Heavyweight,"KO/TKO, Knee",1,1:26,UFC 48: Payback,"DATE: June 19, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Frank Trigg, Dennis Hallman","0, 0","20, 1","0, 0","0, 2",Welterweight,"KO/TKO, Punches",1,4:15,UFC 48: Payback,"DATE: June 19, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Frank Mir, Tim Sylvia","0, 0","3, 2","0, 1","1, 0",Heavyweight,"SUB, Armbar",1,0:50,UFC 48: Payback,"DATE: June 19, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Matt Hughes, Renato Verissimo","0, 0","11, 7","3, 0","1, 4",Welterweight,U-DEC,3,5:00,UFC 48: Payback,"DATE: June 19, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Evan Tanner, Phil Baroni","0, 0","73, 23","5, 0","0, 0",Middleweight,U-DEC,3,5:00,UFC 48: Payback,"DATE: June 19, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Matt Serra, Ivan Menjivar","0, 0","14, 8","6, 0","0, 2",Lightweight,U-DEC,3,5:00,UFC 48: Payback,"DATE: June 19, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Georges St-Pierre, Jay Hieron","2, 0","24, 5","0, 0","0, 0",Welterweight,"KO/TKO, Punches",1,1:42,UFC 48: Payback,"DATE: June 19, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Trevor Prangley, Curtis Stout","0, 0","12, 5","2, 0","2, 0",Middleweight,"SUB, Scarf Hold",2,1:05,UFC 48: Payback,"DATE: June 19, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Chuck Liddell, Tito Ortiz","1, 0","23, 13","0, 0","0, 0",Light,"KO/TKO, Punches",2,0:38,UFC 47: It's On!,"DATE: April 02, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Chris Lytle, Tiki Ghosn","0, 0","34, 27","2, 0","1, 0",Welterweight,"SUB, Bulldog Choke",2,1:55,UFC 47: It's On!,"DATE: April 02, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Yves Edwards, Hermes Franca","0, 0","21, 8","0, 4","1, 2",Lightweight,S-DEC,3,5:00,UFC 47: It's On!,"DATE: April 02, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Andrei Arlovski, Wesley Correira","1, 0","51, 4","0, 0","0, 0",Heavyweight,"KO/TKO, Punches",2,1:15,UFC 47: It's On!,"DATE: April 02, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Nick Diaz, Robbie Lawler","1, 0","22, 16","0, 0","0, 0",Welterweight,"KO/TKO, Punch",2,1:31,UFC 47: It's On!,"DATE: April 02, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Mike Kyle, Wes Sims","1, 0","13, 0","0, 0","1, 3",Heavyweight,"KO/TKO, Punch",1,4:59,UFC 47: It's On!,"DATE: April 02, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jonathan Wiezorek, Wade Shipp","0, 0","10, 20","1, 0","0, 0",Heavyweight,"KO/TKO, Punches",1,4:40,UFC 47: It's On!,"DATE: April 02, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Genki Sudo, Mike Brown","0, 0","6, 13","1, 1","4, 0",Lightweight,"SUB, Triangle Choke",1,3:31,UFC 47: It's On!,"DATE: April 02, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Vitor Belfort, Randy Couture","0, 0","1, 1","0, 0","0, 0",Light,KO/TKO,1,0:49,UFC 46: Supernatural,"DATE: January 31, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Renato Verissimo, Carlos Newton","0, 0","22, 4","3, 2","1, 0",Welterweight,U-DEC,3,5:00,UFC 46: Supernatural,"DATE: January 31, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"BJ Penn, Matt Hughes","0, 0","17, 4","0, 0","1, 0",Welterweight,"SUB, Rear Naked Choke",1,4:39,UFC 46: Supernatural,"DATE: January 31, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Frank Mir, Wes Sims","1, 0","28, 18","4, 0","2, 0",Heavyweight,"KO/TKO, Punch",2,4:21,UFC 46: Supernatural,"DATE: January 31, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Lee Murray, Jorge Rivera","0, 0","0, 2","0, 1","2, 0",Middleweight,"SUB, Triangle Choke",1,1:45,UFC 46: Supernatural,"DATE: January 31, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Georges St-Pierre, Karo Parisyan","0, 0","46, 1","6, 0","0, 4",Welterweight,U-DEC,3,5:00,UFC 46: Supernatural,"DATE: January 31, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Josh Thomson, Hermes Franca","0, 1","40, 22","2, 2","0, 1",Lightweight,M-DEC,3,5:00,UFC 46: Supernatural,"DATE: January 31, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Matt Serra, Jeff Curran","0, 0","45, 9","6, 0","0, 1",Lightweight,U-DEC,3,5:00,UFC 46: Supernatural,"DATE: January 31, 2004","LOCATION: Las Vegas, Nevada, USA"
WIN,"Matt Hughes, Frank Trigg","0, 0","0, 0","1, 1","2, 1",Welterweight,"SUB, Rear Naked Choke",1,3:54,UFC 45: Revolution,"DATE: November 21, 2003","LOCATION: Uncasville, Connecticut, USA"
WIN,"Matt Lindland, Falaniko Vitale","0, 0","35, 3","1, 0","1, 0",Middleweight,"KO/TKO, Punches",3,4:23,UFC 45: Revolution,"DATE: November 21, 2003","LOCATION: Uncasville, Connecticut, USA"
WIN,"Wesley Correira, David Abbott","1, 0","13, 11","0, 0","0, 0",Heavyweight,KO/TKO,1,2:14,UFC 45: Revolution,"DATE: November 21, 2003","LOCATION: Uncasville, Connecticut, USA"
WIN,"Evan Tanner, Phil Baroni","0, 2","28, 17","1, 0","0, 0",Middleweight,"KO/TKO, Elbows",1,4:42,UFC 45: Revolution,"DATE: November 21, 2003","LOCATION: Uncasville, Connecticut, USA"
WIN,"Robbie Lawler, Chris Lytle","1, 0","30, 37","3, 1","0, 1",Welterweight,U-DEC,3,5:00,UFC 45: Revolution,"DATE: November 21, 2003","LOCATION: Uncasville, Connecticut, USA"
WIN,"Pedro Rizzo, Ricco Rodriguez","0, 0","30, 15","0, 0","0, 0",Heavyweight,U-DEC,3,5:00,UFC 45: Revolution,"DATE: November 21, 2003","LOCATION: Uncasville, Connecticut, USA"
WIN,"Keith Rockel, Chris Liguori","0, 0","5, 1","1, 0","1, 0",Middleweight,"SUB, Guillotine Choke",1,3:29,UFC 45: Revolution,"DATE: November 21, 2003","LOCATION: Uncasville, Connecticut, USA"
WIN,"Yves Edwards, Nick Agallar","1, 0","33, 5","0, 0","0, 0",Lightweight,"KO/TKO, Punch",2,2:14,UFC 45: Revolution,"DATE: November 21, 2003","LOCATION: Uncasville, Connecticut, USA"
WIN,"Randy Couture, Tito Ortiz","0, 0","88, 16","8, 2","0, 0",Light,U-DEC,5,5:00,UFC 44: Undisputed,"DATE: September 26, 2003","LOCATION: Las Vegas, Nevada, USA"
WIN,"Andrei Arlovski, Vladimir Matyushenko","2, 0","9, 5","0, 0","0, 0",Heavyweight,"KO/TKO, Punches",1,1:59,UFC 44: Undisputed,"DATE: September 26, 2003","LOCATION: Las Vegas, Nevada, USA"
WIN,"Tim Sylvia, Gan McGee","1, 0","10, 7","0, 0","0, 0",Heavyweight,"KO/TKO, Punch",1,1:54,UFC 44: Undisputed,"DATE: September 26, 2003","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jorge Rivera, David Loiseau","1, 0","80, 35","0, 0","0, 0",Middleweight,U-DEC,3,5:00,UFC 44: Undisputed,"DATE: September 26, 2003","LOCATION: Las Vegas, Nevada, USA"
WIN,"Rich Franklin, Edwin DeWees","1, 0","37, 4","0, 1","0, 1",Light,"KO/TKO, Knees",1,3:35,UFC 44: Undisputed,"DATE: September 26, 2003","LOCATION: Las Vegas, Nevada, USA"
WIN,"Karo Parisyan, Dave Strasser","0, 0","13, 2","3, 0","1, 0",Welterweight,"SUB, Kimura",1,3:52,UFC 44: Undisputed,"DATE: September 26, 2003","LOCATION: Las Vegas, Nevada, USA"
WIN,"Josh Thomson, Gerald Strebendt","1, 0","11, 0","1, 0","0, 3",Lightweight,"KO/TKO, Punches",1,2:45,UFC 44: Undisputed,"DATE: September 26, 2003","LOCATION: Las Vegas, Nevada, USA"
WIN,"Nick Diaz, Jeremy Jackson","0, 0","17, 9","6, 0","2, 0",Welterweight,"SUB, Armbar",3,2:04,UFC 44: Undisputed,"DATE: September 26, 2003","LOCATION: Las Vegas, Nevada, USA"
WIN,"Hermes Franca, Caol Uno","1, 0","13, 32","2, 1","1, 0",Lightweight,"KO/TKO, Punch",2,2:46,UFC 44: Undisputed,"DATE: September 26, 2003","LOCATION: Las Vegas, Nevada, USA"
WIN,"Randy Couture, Chuck Liddell","0, 0","46, 22","4, 0","1, 0",Light,"KO/TKO, Punches",3,2:39,UFC 43: Meltdown,"DATE: June 06, 2003","LOCATION: Las Vegas, Nevada, USA"
WIN,"Kimo Leopoldo, David Abbott","0, 0","1, 0","1, 0","1, 0",Heavyweight,"SUB, Arm Triangle",1,1:59,UFC 43: Meltdown,"DATE: June 06, 2003","LOCATION: Las Vegas, Nevada, USA"
WIN,"Vitor Belfort, Marvin Eastman","1, 0","9, 1","0, 0","0, 0",Light,"KO/TKO, Knees",1,1:07,UFC 43: Meltdown,"DATE: June 06, 2003","LOCATION: Las Vegas, Nevada, USA"
"DRAW, DRAW","Vernon White, Ian Freeman","0, 0","45, 18","1, 2","0, 1",Heavyweight,S-DEC,3,5:00,UFC 43: Meltdown,"DATE: June 06, 2003","LOCATION: Las Vegas, Nevada, USA"
WIN,"Frank Mir, Wes Sims","0, 0","4, 1","1, 0","4, 0",Heavyweight,DQ,1,2:55,UFC 43: Meltdown,"DATE: June 06, 2003","LOCATION: Las Vegas, Nevada, USA"
WIN,"Yves Edwards, Eddie Ruiz","1, 0","21, 3","0, 2","3, 0",Lightweight,U-DEC,3,5:00,UFC 43: Meltdown,"DATE: June 06, 2003","LOCATION: Las Vegas, Nevada, USA"
WIN,"Falaniko Vitale, Matt Lindland","0, 0","2, 2","0, 0","0, 0",Middleweight,"KO/TKO, Slam",1,1:56,UFC 43: Meltdown,"DATE: June 06, 2003","LOCATION: Las Vegas, Nevada, USA"
WIN,"Pedro Rizzo, Tra Telligman","0, 1","40, 34","1, 0","0, 0",Heavyweight,KO/TKO,2,4:24,UFC 43: Meltdown,"DATE: June 06, 2003","LOCATION: Las Vegas, Nevada, USA"
WIN,"Matt Hughes, Sean Sherk","0, 0","44, 19","5, 3","1, 1",Welterweight,U-DEC,5,5:00,UFC 42: Sudden Impact,"DATE: April 25, 2003","LOCATION: Miami, Florida, USA"
WIN,"Pete Spratt, Robbie Lawler","0, 0","19, 15","1, 2","0, 0",Welterweight,"SUB, Injury",2,2:28,UFC 42: Sudden Impact,"DATE: April 25, 2003","LOCATION: Miami, Florida, USA"
WIN,"Dave Strasser, Romie Aram","0, 1","60, 24","1, 2","0, 0",Welterweight,U-DEC,3,5:00,UFC 42: Sudden Impact,"DATE: April 25, 2003","LOCATION: Miami, Florida, USA"
WIN,"Wesley Correira, Sean Alvarez","0, 0","22, 6","0, 0","0, 0",Heavyweight,"KO/TKO, Punches",2,1:46,UFC 42: Sudden Impact,"DATE: April 25, 2003","LOCATION: Miami, Florida, USA"
WIN,"Rich Franklin, Evan Tanner","1, 0","16, 6","0, 0","0, 0",Light,"KO/TKO, Punches",1,2:40,UFC 42: Sudden Impact,"DATE: April 25, 2003","LOCATION: Miami, Florida, USA"
WIN,"Duane Ludwig, Genki Sudo","0, 0","38, 24","0, 3","0, 0",Lightweight,U-DEC,3,5:00,UFC 42: Sudden Impact,"DATE: April 25, 2003","LOCATION: Miami, Florida, USA"
WIN,"Hermes Franca, Richard Crunkilton","1, 0","27, 29","2, 4","9, 0",Lightweight,U-DEC,3,5:00,UFC 42: Sudden Impact,"DATE: April 25, 2003","LOCATION: Miami, Florida, USA"
WIN,"David Loiseau, Mark Weir","0, 0","16, 2","1, 0","0, 0",Middleweight,"KO/TKO, Punches",1,3:55,UFC 42: Sudden Impact,"DATE: April 25, 2003","LOCATION: Miami, Florida, USA"
WIN,"Tim Sylvia, Ricco Rodriguez","1, 0","12, 7","0, 0","0, 1",Heavyweight,"KO/TKO, Punch",1,3:09,UFC 41: Onslaught,"DATE: February 28, 2003","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Frank Mir, David Abbott","0, 0","0, 1","0, 0","2, 0",Heavyweight,"SUB, Toe Hold",1,0:46,UFC 41: Onslaught,"DATE: February 28, 2003","LOCATION: Atlantic City, New Jersey, USA"
"DRAW, DRAW","BJ Penn, Caol Uno","0, 0","67, 64","5, 6","0, 1",Lightweight,S-DEC,5,5:00,UFC 41: Onslaught,"DATE: February 28, 2003","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Matt Lindland, Phil Baroni","0, 0","40, 44","4, 1","2, 0",Middleweight,U-DEC,3,5:00,UFC 41: Onslaught,"DATE: February 28, 2003","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Vladimir Matyushenko, Pedro Rizzo","0, 0","24, 12","5, 0","0, 0",Heavyweight,U-DEC,3,5:00,UFC 41: Onslaught,"DATE: February 28, 2003","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Din Thomas, Matt Serra","0, 0","29, 26","0, 1","0, 0",Lightweight,S-DEC,3,5:00,UFC 41: Onslaught,"DATE: February 28, 2003","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Gan McGee, Alexandre Dantas","0, 0","9, 1","0, 0","0, 1",Heavyweight,"KO/TKO, Punches",1,4:49,UFC 41: Onslaught,"DATE: February 28, 2003","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Yves Edwards, Rich Clementi","1, 0","51, 31","0, 2","1, 0",Lightweight,"SUB, Rear Naked Choke",3,4:07,UFC 41: Onslaught,"DATE: February 28, 2003","LOCATION: Atlantic City, New Jersey, USA"
WIN,"Tito Ortiz, Ken Shamrock","0, 0","74, 12","3, 0","1, 0",Light,KO/TKO,3,5:00,UFC 40: Vendetta,"DATE: November 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Chuck Liddell, Renato Sobral","1, 0","13, 10","0, 0","0, 0",Light,"KO/TKO, Kick",1,2:55,UFC 40: Vendetta,"DATE: November 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Matt Hughes, Gil Castillo","0, 0","22, 1","1, 0","0, 0",Welterweight,KO/TKO,1,5:00,UFC 40: Vendetta,"DATE: November 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Carlos Newton, Pete Spratt","0, 0","0, 1","1, 0","1, 0",Welterweight,"SUB, Kimura",1,1:45,UFC 40: Vendetta,"DATE: November 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Robbie Lawler, Tiki Ghosn","1, 0","5, 7","0, 0","0, 0",Welterweight,"KO/TKO, Punch",1,1:29,UFC 40: Vendetta,"DATE: November 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Andrei Arlovski, Ian Freeman","1, 0","14, 1","0, 0","0, 0",Heavyweight,"KO/TKO, Punches",1,1:18,UFC 40: Vendetta,"DATE: November 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Vladimir Matyushenko, Travis Wiuff","0, 0","24, 0","2, 0","0, 1",Heavyweight,"KO/TKO, Punches",1,4:10,UFC 40: Vendetta,"DATE: November 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Phillip Miller, Mark Weir","0, 1","10, 19","2, 0","1, 3",Middleweight,"SUB, Rear Naked Choke",2,4:50,UFC 40: Vendetta,"DATE: November 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Ricco Rodriguez, Randy Couture","0, 0","39, 39","4, 5","1, 0",Heavyweight,"KO/TKO, Elbows",5,3:04,UFC 39: The Warriors Return,"DATE: September 27, 2002","LOCATION: Uncasville, Connecticut, USA"
WIN,"Tim Sylvia, Wesley Correira","0, 0","138, 26","0, 0","0, 0",Heavyweight,KO/TKO,2,1:43,UFC 39: The Warriors Return,"DATE: September 27, 2002","LOCATION: Uncasville, Connecticut, USA"
WIN,"BJ Penn, Matt Serra","0, 0","32, 8","1, 1","0, 1",Lightweight,U-DEC,3,5:00,UFC 39: The Warriors Return,"DATE: September 27, 2002","LOCATION: Uncasville, Connecticut, USA"
WIN,"Caol Uno, Din Thomas","0, 0","35, 11","0, 3","0, 4",Lightweight,U-DEC,3,5:00,UFC 39: The Warriors Return,"DATE: September 27, 2002","LOCATION: Uncasville, Connecticut, USA"
WIN,"Gan McGee, Pedro Rizzo","0, 0","17, 14","0, 0","0, 0",Heavyweight,KO/TKO,1,5:00,UFC 39: The Warriors Return,"DATE: September 27, 2002","LOCATION: Uncasville, Connecticut, USA"
WIN,"Phil Baroni, Dave Menne","1, 0","8, 1","0, 0","0, 0",Middleweight,"KO/TKO, Punches",1,0:18,UFC 39: The Warriors Return,"DATE: September 27, 2002","LOCATION: Uncasville, Connecticut, USA"
WIN,"Matt Lindland, Ivan Salaverry","0, 0","16, 32","6, 0","0, 0",Middleweight,U-DEC,3,5:00,UFC 39: The Warriors Return,"DATE: September 27, 2002","LOCATION: Uncasville, Connecticut, USA"
WIN,"Sean Sherk, Benji Radach","0, 0","6, 7","1, 0","0, 0",Welterweight,KO/TKO,1,4:16,UFC 39: The Warriors Return,"DATE: September 27, 2002","LOCATION: Uncasville, Connecticut, USA"
WIN,"Matt Hughes, Carlos Newton","0, 0","58, 3","4, 0","1, 1",Welterweight,"KO/TKO, Punches",4,3:37,UFC 38: Brawl at the Hall,"DATE: July 13, 2002","LOCATION: London, England, United Kingdom"
WIN,"Ian Freeman, Frank Mir","0, 0","34, 6","0, 1","0, 3",Heavyweight,KO/TKO,1,4:35,UFC 38: Brawl at the Hall,"DATE: July 13, 2002","LOCATION: London, England, United Kingdom"
WIN,"Mark Weir, Eugene Jackson","1, 0","4, 0","0, 0","0, 0",Middleweight,"KO/TKO, Punch",1,0:10,UFC 38: Brawl at the Hall,"DATE: July 13, 2002","LOCATION: London, England, United Kingdom"
WIN,"Genki Sudo, Leigh Remedios","0, 0","9, 5","2, 0","3, 0",Lightweight,"SUB, Rear Naked Choke",2,1:38,UFC 38: Brawl at the Hall,"DATE: July 13, 2002","LOCATION: London, England, United Kingdom"
WIN,"Phillip Miller, James Zikic","0, 0","30, 29","4, 0","0, 1",Light,U-DEC,3,5:00,UFC 38: Brawl at the Hall,"DATE: July 13, 2002","LOCATION: London, England, United Kingdom"
WIN,"Renato Sobral, Elvis Sinosic","0, 0","42, 7","4, 0","0, 0",Light,U-DEC,3,5:00,UFC 38: Brawl at the Hall,"DATE: July 13, 2002","LOCATION: London, England, United Kingdom"
WIN,"Evan Tanner, Chris Haseman","0, 0","70, 14","3, 0","0, 2",Light,U-DEC,3,5:00,UFC 38: Brawl at the Hall,"DATE: July 13, 2002","LOCATION: London, England, United Kingdom"
WIN,"Chuck Liddell, Vitor Belfort","1, 0","43, 20","0, 3","0, 0",Light,U-DEC,3,5:00,UFC 37.5: As Real As It Gets,"DATE: June 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Benji Radach, Nick Serra","1, 0","26, 0","0, 1","0, 2",Welterweight,U-DEC,3,5:00,UFC 37.5: As Real As It Gets,"DATE: June 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Pete Spratt, Zach Light","0, 0","3, 2","0, 1","1, 0",Welterweight,"SUB, Armbar",1,2:25,UFC 37.5: As Real As It Gets,"DATE: June 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Robbie Lawler, Steve Berger","1, 0","28, 11","1, 1","0, 0",Welterweight,"KO/TKO, Punch",2,0:27,UFC 37.5: As Real As It Gets,"DATE: June 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Tony Fryklund, Rodrigo Ruas","1, 0","60, 11","0, 0","1, 0",Middleweight,"KO/TKO, Punches",2,3:34,UFC 37.5: As Real As It Gets,"DATE: June 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Yves Edwards, Joao Pierini","0, 0","6, 1","0, 0","0, 0",Lightweight,KO/TKO,1,1:19,UFC 37.5: As Real As It Gets,"DATE: June 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Murilo Bustamante, Matt Lindland","1, 0","17, 35","2, 0","2, 1",Middleweight,"SUB, Guillotine Choke",3,1:33,UFC 37: High Impact,"DATE: May 10, 2002","LOCATION: Bossier City, Louisiana, USA"
WIN,"Ricco Rodriguez, Tsuyoshi Kohsaka","0, 0","19, 6","3, 1","1, 0",Heavyweight,"KO/TKO, Punches",2,3:25,UFC 37: High Impact,"DATE: May 10, 2002","LOCATION: Bossier City, Louisiana, USA"
WIN,"BJ Penn, Paul Creighton","0, 0","39, 6","0, 3","0, 0",Lightweight,"KO/TKO, Punches",2,3:23,UFC 37: High Impact,"DATE: May 10, 2002","LOCATION: Bossier City, Louisiana, USA"
WIN,"Phil Baroni, Amar Suloev","0, 0","11, 9","0, 1","0, 1",Middleweight,"KO/TKO, Punches",1,2:59,UFC 37: High Impact,"DATE: May 10, 2002","LOCATION: Bossier City, Louisiana, USA"
WIN,"Caol Uno, Yves Edwards","0, 0","19, 13","3, 1","1, 1",Lightweight,U-DEC,3,5:00,UFC 37: High Impact,"DATE: May 10, 2002","LOCATION: Bossier City, Louisiana, USA"
WIN,"Ivan Salaverry, Andrei Semenov","0, 0","43, 5","2, 1","8, 1",Middleweight,"KO/TKO, Punches",3,2:27,UFC 37: High Impact,"DATE: May 10, 2002","LOCATION: Bossier City, Louisiana, USA"
"NC, NC","Benji Radach, Steve Berger","1, 0","10, 0","0, 0","0, 0",Welterweight,Overturned,1,0:27,UFC 37: High Impact,"DATE: May 10, 2002","LOCATION: Bossier City, Louisiana, USA"
WIN,"Robbie Lawler, Aaron Riley","1, 0","64, 55","6, 0","0, 1",Welterweight,U-DEC,3,5:00,UFC 37: High Impact,"DATE: May 10, 2002","LOCATION: Bossier City, Louisiana, USA"
WIN,"Josh Barnett, Randy Couture","0, 0","44, 18","0, 1","1, 0",Heavyweight,"KO/TKO, Punches",2,4:35,UFC 36: Worlds Collide,"DATE: March 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Pedro Rizzo, Andrei Arlovski","1, 0","27, 38","0, 0","0, 0",Heavyweight,"KO/TKO, Punch",3,1:45,UFC 36: Worlds Collide,"DATE: March 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Matt Hughes, Hayato Sakurai","0, 1","36, 5","9, 0","0, 0",Welterweight,"KO/TKO, Punches",4,3:01,UFC 36: Worlds Collide,"DATE: March 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Matt Lindland, Pat Miletich","0, 0","20, 1","1, 0","0, 0",Middleweight,"KO/TKO, Punches",1,3:09,UFC 36: Worlds Collide,"DATE: March 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Evan Tanner, Elvis Sinosic","0, 0","7, 4","0, 0","0, 0",Light,KO/TKO,1,2:06,UFC 36: Worlds Collide,"DATE: March 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Frank Mir, Pete Williams","0, 0","4, 0","0, 1","1, 0",Heavyweight,"SUB, Other - Lock",1,0:46,UFC 36: Worlds Collide,"DATE: March 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Matt Serra, Kelly Dullanty","0, 0","2, 0","1, 0","3, 0",Lightweight,"SUB, Triangle Choke",1,2:58,UFC 36: Worlds Collide,"DATE: March 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Sean Sherk, Jutaro Nakao","0, 0","21, 4","7, 0","0, 0",Welterweight,U-DEC,3,5:00,UFC 36: Worlds Collide,"DATE: March 22, 2002","LOCATION: Las Vegas, Nevada, USA"
WIN,"Jens Pulver, BJ Penn","0, 0","38, 49","1, 7","0, 2",Lightweight,M-DEC,5,5:00,UFC 35: Throwdown,"DATE: January 11, 2002","LOCATION: Uncasville, Connecticut, USA"
WIN,"Ricco Rodriguez, Jeff Monson","0, 0","42, 7","3, 2","1, 0",Heavyweight,"KO/TKO, Punches",3,3:00,UFC 35: Throwdown,"DATE: January 11, 2002","LOCATION: Uncasville, Connecticut, USA"
WIN,"Murilo Bustamante, Dave Menne","1, 0","9, 14","2, 0","0, 0",Middleweight,"KO/TKO, Punch",2,0:44,UFC 35: Throwdown,"DATE: January 11, 2002","LOCATION: Uncasville, Connecticut, USA"
WIN,"Chuck Liddell, Amar Suloev","0, 0","46, 26","0, 0","0, 0",Light,U-DEC,3,5:00,UFC 35: Throwdown,"DATE: January 11, 2002","LOCATION: Uncasville, Connecticut, USA"
WIN,"Andrei Semenov, Ricardo Almeida","1, 0","5, 12","0, 1","0, 5",Middleweight,"KO/TKO, Punch",2,2:01,UFC 35: Throwdown,"DATE: January 11, 2002","LOCATION: Uncasville, Connecticut, USA"
WIN,"Kevin Randleman, Renato Sobral","0, 0","18, 2","1, 0","0, 5",Light,U-DEC,3,5:00,UFC 35: Throwdown,"DATE: January 11, 2002","LOCATION: Uncasville, Connecticut, USA"
WIN,"Gil Castillo, Chris Brennan","0, 0","17, 8","3, 0","0, 1",Welterweight,U-DEC,3,5:00,UFC 35: Throwdown,"DATE: January 11, 2002","LOCATION: Uncasville, Connecticut, USA"
WIN,"Eugene Jackson, Keith Rockel","0, 0","1, 6","0, 2","1, 2",Middleweight,"SUB, Guillotine Choke",2,1:14,UFC 35: Throwdown,"DATE: January 11, 2002","LOCATION: Uncasville, Connecticut, USA"
WIN,"Randy Couture, Pedro Rizzo","0, 0","41, 13","3, 1","0, 0",Heavyweight,"KO/TKO, Punches",3,3:22,UFC 34: High Voltage,"DATE: November 02, 2001","LOCATION: Las Vegas, Nevada, USA"
WIN,"Ricco Rodriguez, Pete Williams","0, 0","26, 4","5, 0","1, 1",Heavyweight,"KO/TKO, Punches",2,4:02,UFC 34: High Voltage,"DATE: November 02, 2001","LOCATION: Las Vegas, Nevada, USA"
WIN,"Matt Hughes, Carlos Newton","0, 0","8, 2","4, 0","1, 1",Welterweight,"KO/TKO, Slam",2,1:27,UFC 34: High Voltage,"DATE: November 02, 2001","LOCATION: Las Vegas, Nevada, USA"
WIN,"BJ Penn, Caol Uno","1, 0","5, 0","1, 0","0, 0",Lightweight,"KO/TKO, Punches",1,0:11,UFC 34: High Voltage,"DATE: November 02, 2001","LOCATION: Las Vegas, Nevada, USA"
WIN,"Josh Barnett, Bobby Hoffman","0, 0","17, 6","2, 1","1, 1",Heavyweight,"KO/TKO, Punches",2,4:25,UFC 34: High Voltage,"DATE: November 02, 2001","LOCATION: Las Vegas, Nevada, USA"
